,RSI Length,RSI Buy Threshold,RSI Sell Threshold,Stop Loss (%),Take Profit (%),Risk (%),Final Equity,Sharpe Ratio,Max Drawdown (%),Total Trades,Total Return (%),CAGR (%),Time in Market (%)
134,3,20,85,0.03,0.1,0.01,214254.39167404175,0.5590319904376835,-13.928655893282976,350,114.25439167404174,2.7767259198069105,24.63272001141064
135,3,20,85,0.03,0.1,0.02,444226.70898246736,0.561873911478036,-26.985284757888646,350,344.22670898246736,5.506007633240362,24.63272001141064
136,3,20,90,0.02,0.05,0.01,291416.70513153065,0.5193270887652053,-28.0383834641735,262,191.41670513153065,3.9193168177977133,17.3727000427899
137,3,20,90,0.02,0.05,0.02,772299.0242824553,0.5141554062400036,-50.863320340750896,262,672.2990242824553,7.624248760442387,17.3727000427899
138,3,20,90,0.02,0.1,0.01,302082.84005737305,0.5305896413438498,-28.03477912608851,250,202.08284005737306,4.053674002694385,17.3727000427899
139,3,20,90,0.02,0.1,0.02,827262.6083431243,0.5260106332042698,-50.86573826509291,250,727.2626083431243,7.890531178835203,17.3727000427899
140,3,20,90,0.03,0.05,0.01,205939.58857154846,0.5205881385425621,-19.295119463187476,262,105.93958857154846,2.630610755912488,17.3727000427899
141,3,20,90,0.03,0.05,0.02,407843.560508728,0.5176245848447066,-36.21369637933219,262,307.843560508728,5.182451230301677,17.3727000427899
142,3,20,90,0.03,0.1,0.01,211005.06965065002,0.5315462174632742,-19.292392062377235,250,111.00506965065003,2.7202877010061632,17.3727000427899
143,3,20,90,0.03,0.1,0.02,427525.61783599854,0.529076489483323,-36.213744428781716,250,327.5256178359985,5.360785246381017,17.3727000427899
144,5,10,80,0.02,0.05,0.01,135310.0982685089,0.23164859782511749,-23.73893877676317,42,35.31009826850891,1.0928568327880805,10.4977891884182
145,5,10,80,0.02,0.05,0.02,174154.21533584583,0.22930476788993576,-46.67222115833125,42,74.15421533584583,2.0140559892327214,10.4977891884182
146,5,10,80,0.02,0.1,0.01,148524.88664245605,0.27542357795486516,-23.721299032326172,40,48.52488664245605,1.4320186266180368,10.4977891884182
147,5,10,80,0.02,0.1,0.02,207849.07416725156,0.2730219333342605,-46.66841386146059,40,107.84907416725156,2.664662581640709,10.4977891884182
148,5,10,80,0.03,0.05,0.01,122962.70245552063,0.2330585519980438,-15.89079779032993,42,22.96270245552063,0.745758682140929,10.4977891884182
149,5,10,80,0.03,0.05,0.02,148135.3810615539,0.23083079052808955,-31.44896714500672,42,48.13538106155389,1.422445370179548,10.4977891884182
150,5,10,80,0.03,0.1,0.01,130934.8830833435,0.2760393480518196,-15.915267241571557,40,30.934883083343507,0.9734933161654524,10.4977891884182
151,5,10,80,0.03,0.1,0.02,167313.1068134308,0.2745721953535484,-31.46781992874757,40,67.31310681343079,1.8672197382069822,10.4977891884182
152,5,10,85,0.02,0.05,0.01,136566.1684513092,0.23312776874225338,-26.175816040325994,40,36.5661684513092,1.126437464255492,5.277421195264584
